File Length , Non-Buffered Time Taken (ns)
108200 , 220587434
108300 , 221024503
108400 , 223633096
108500 , 221954092
108600 , 224590939
108700 , 222635914
108800 , 219881567
108900 , 220280350
109000 , 221032526
109100 , 221072353
109200 , 221073150
109300 , 222384863
109400 , 221416454
109500 , 221767240
109600 , 225182960
109700 , 221087281
109800 , 223105362
109900 , 222721422
110000 , 222506191
110100 , 222872335
110200 , 223520296
110300 , 223034412
110400 , 224572444
110500 , 222659073
110600 , 222581715
110700 , 226128704
110800 , 226696094
110900 , 230435332
111000 , 226921187
111100 , 230034289
111200 , 224531558
111300 , 225356716
111400 , 224666433
111500 , 226609286
111600 , 227999303
111700 , 227135863
111800 , 227121386
111900 , 226603139
112000 , 226821105
112100 , 226285789
112200 , 227205203
112300 , 227067892
112400 , 228515064
112500 , 230356416
112600 , 230722329
112700 , 227925426
112800 , 227841906
112900 , 229655564
113000 , 231398321
113100 , 232286134
113200 , 230060696
113300 , 230346899
113400 , 229723901
113500 , 229947300
113600 , 230032048
113700 , 230025488
113800 , 232769990
113900 , 232763055
114000 , 233873180
114100 , 231561580
114200 , 232398701
114300 , 232001983
114400 , 236675325
114500 , 234253946
114600 , 234964157
114700 , 233328924
114800 , 233245224
114900 , 232686529
115000 , 235058624
115100 , 234531140
115200 , 236456605
115300 , 233808363
115400 , 234766897
115500 , 236310961
115600 , 236684749
115700 , 237692424
115800 , 236970761
115900 , 238163433
116000 , 236551644
116100 , 238122437
116200 , 237397759
116300 , 241972008
116400 , 254218067
116500 , 238485142
116600 , 238385316
116700 , 238936399
116800 , 237832616
116900 , 238156024
117000 , 238796937
117100 , 240670395
117200 , 242056617
117300 , 238785558
117400 , 237971837
117500 , 237555582
117600 , 240588231
117700 , 240650616
117800 , 241011316
117900 , 242106487
118000 , 241686319
118100 , 238290442
118200 , 238315192
118300 , 238508584
118400 , 240968816
118500 , 242261784
118600 , 242212201
118700 , 243625353
118800 , 243481307
118900 , 242053592
119000 , 241002867
119100 , 241910868
119200 , 243019632
119300 , 243976168
119400 , 244301002
119500 , 243810472
119600 , 241527636
119700 , 244347565
119800 , 244433279
119900 , 243950391
120000 , 243647747
120100 , 243480114
120200 , 243775904
120300 , 243974921
120400 , 246560213
120500 , 245782585
120600 , 245612591
120700 , 244340990
120800 , 247180607
120900 , 245680394
121000 , 246087729
121100 , 245840636
121200 , 244031767
121300 , 245711644
121400 , 248967011
121500 , 247719122
121600 , 247459581
121700 , 247215703
121800 , 244601540
121900 , 244990354
122000 , 249440382
122100 , 251684725
122200 , 248398363
122300 , 248574444
122400 , 247792358
122500 , 252296311
122600 , 248047027
122700 , 248419772
122800 , 250924896
122900 , 251037942
123000 , 252818496
123100 , 253119921
123200 , 251553954
123300 , 253303916
123400 , 257019820
123500 , 254196948
123600 , 253481881
123700 , 253461896
123800 , 252481490
123900 , 252807711
124000 , 254863480
124100 , 254589577
124200 , 254769705
124300 , 254174128
124400 , 255303855
124500 , 254292585
124600 , 252149066
124700 , 253546111
124800 , 254660253
124900 , 256259274
125000 , 256078260
125100 , 259365490
125200 , 255025357
125300 , 257336757
125400 , 256653703
125500 , 255529107
125600 , 257146985
125700 , 261494091
125800 , 256850066
125900 , 256103641
126000 , 256687346
126100 , 256268059
126200 , 255286225
126300 , 258289474
126400 , 259147464
126500 , 264373377
126600 , 257488624
126700 , 258161036
126800 , 259565822
126900 , 260535924
127000 , 256521692
127100 , 258018552
127200 , 258868998
127300 , 260980613
127400 , 259665583
127500 , 257006656
127600 , 260293377
127700 , 259104607
127800 , 257650874
127900 , 259105365
128000 , 257872967
128100 , 260955530
128200 , 260828749
128300 , 259850875
128400 , 260309429
128500 , 261809836
128600 , 261401124
128700 , 262681670
128800 , 260545956
128900 , 264378410
129000 , 261341221
129100 , 261302896
129200 , 262031362
129300 , 261412762
129400 , 260350707
129500 , 261718548
129600 , 263527881
129700 , 262586807
129800 , 263574903
129900 , 263923039
130000 , 263723901
130100 , 263943105
130200 , 263098453
130300 , 263901721
130400 , 263882615
130500 , 263993907
130600 , 265643593
130700 , 264935365
130800 , 264921995
130900 , 264589050
131000 , 265398164
131100 , 265259322
131200 , 269183944
131300 , 265011256
131400 , 266215809
131500 , 264666669
131600 , 264475127
131700 , 267626990
131800 , 268583721
131900 , 269146846
132000 , 267203140
132100 , 267446062
132200 , 267572696
132300 , 266805967
132400 , 267438443
132500 , 270948363
132600 , 269090546
132700 , 270418330
132800 , 267405894
132900 , 269889581
133000 , 273151708
133100 , 270702356
133200 , 268991269
133300 , 268272055
133400 , 269477975
133500 , 269676443
133600 , 271186126
133700 , 270207071
133800 , 273563881
133900 , 272154880
134000 , 272574787
134100 , 271938847
134200 , 273409422
134300 , 273766380
134400 , 272100041
134500 , 272968971
134600 , 276636906
134700 , 277073880
134800 , 278891655
134900 , 276025536
135000 , 276737806
135100 , 275217477
135200 , 275512250
135300 , 275675168
135400 , 274358871
135500 , 272457010
135600 , 273178218
135700 , 273013890
135800 , 273844410
135900 , 274253199
136000 , 273404352
136100 , 273786520
136200 , 275569332
136300 , 274730077
136400 , 275533301
136500 , 277486408
136600 , 277365876
136700 , 278839873
136800 , 277610028
136900 , 278594769
137000 , 281268474
137100 , 280549764
137200 , 281608837
137300 , 280535290
137400 , 280142952
137500 , 281544130
137600 , 280874422
137700 , 277152960
137800 , 278732815
