File Length , Non-Buffered Time Taken (ns)
143300 , 130069434
54000 , 62353609
24800 , 32465013
109800 , 110641547
53800 , 55336778
172700 , 166923656
71700 , 72908655
168900 , 158881074
172400 , 159105001
108000 , 108171895
29300 , 32176719
60500 , 59663465
147000 , 135141697
102500 , 105128126
139800 , 131882505
66100 , 61947249
149800 , 137795378
71200 , 69049830
43800 , 49830848
178400 , 164916299
16200 , 27097907
152800 , 135859458
145200 , 134921766
9800 , 18432466
25000 , 29468838
133700 , 125014834
24300 , 38001474
196700 , 183387853
142600 , 134001953
49200 , 54312997
41600 , 41184065
84400 , 89291119
152500 , 139169190
143400 , 135994933
166300 , 160195466
166400 , 151014568
145100 , 149680933
5200 , 15824570
196800 , 178496868
130100 , 129671882
