File Length , Non-Buffered Time Taken (ns)
158900 , 157880444
165500 , 151023632
153200 , 143941129
95100 , 113927850
195900 , 180551422
117000 , 111131993
135700 , 136418639
122700 , 122595182
16600 , 28374200
172500 , 165462114
155400 , 143408979
148300 , 138698694
147400 , 136820622
95700 , 99489205
122200 , 116266960
20400 , 29236232
70700 , 70283225
167400 , 158173023
93000 , 93788019
50800 , 54787529
141500 , 133214317
36500 , 44751126
81900 , 83339960
58900 , 53976860
181300 , 172755131
21700 , 25745715
129700 , 129086693
113500 , 116050432
143000 , 132404607
116800 , 109266911
76100 , 75997993
161600 , 151249248
48300 , 52369613
37100 , 45635539
27500 , 37444084
28900 , 34345852
197400 , 189146244
27000 , 37104339
29100 , 33965252
43100 , 53140434
152300 , 160014859
138000 , 127414648
20500 , 28488058
8900 , 22749374
154300 , 150024314
168100 , 156708205
10400 , 19613348
145500 , 141752802
177200 , 164122307
12400 , 21131373
150300 , 141222799
37700 , 45986063
174700 , 163705535
160400 , 148274612
151100 , 146400663
192300 , 182922203
4600 , 11507336
22900 , 34494893
178100 , 170575188
53900 , 62694071
103200 , 113006069
182000 , 163969071
27600 , 36251990
166500 , 162095685
32600 , 35986417
23000 , 26864697
144200 , 139506257
116900 , 129143351
115200 , 112394879
61600 , 63823950
99600 , 97454170
91300 , 87021247
102000 , 102680816
34000 , 44014142
57900 , 57858236
45800 , 56520036
189800 , 193509351
174200 , 180611733
146200 , 134406307
184300 , 172370452
26000 , 29045301
124500 , 117800088
78500 , 74227681
10700 , 21638924
157500 , 151097847
131900 , 121099501
177700 , 167983853
30000 , 39286034
20800 , 31918802
199200 , 182570867
69600 , 69736068
51400 , 57331066
86400 , 83549575
119300 , 109050167
4000 , 12535599
43000 , 44896121
78200 , 82982268
40700 , 51101884
191300 , 184681159
19600 , 25197064
37800 , 43359038
53600 , 55800109
147200 , 138418391
175500 , 166896123
183400 , 167502488
95400 , 95503424
188500 , 179076959
195400 , 180981223
61400 , 67352963
103400 , 99264265
41200 , 50061807
93700 , 91638996
45500 , 52465521
46300 , 41229407
2100 , 8880648
46000 , 54997903
124900 , 113403379
141000 , 131594658
6000 , 9465489
101500 , 109204352
98700 , 101622222
194100 , 378601368
185500 , 191127919
105600 , 106735906
117600 , 109400047
173900 , 161887037
117700 , 116013702
8000 , 19937971
196300 , 179052341
163800 , 161902567
162800 , 159071402
108400 , 105560091
32700 , 44038160
157000 , 153142745
169400 , 164745781
98900 , 96816361
38400 , 47063151
4100 , 14044307
191900 , 188100050
50300 , 49311575
167100 , 165790020
25800 , 29390346
58800 , 68255558
137200 , 128327258
116400 , 113891060
94900 , 97978817
103600 , 94308310
176200 , 168408872
27400 , 35582681
42200 , 47767705
42000 , 43066009
164300 , 159822013
98200 , 95786805
108600 , 108717141
120000 , 120267002
118900 , 118191076
146800 , 145496338
106400 , 106448318
37500 , 45937833
134500 , 131320162
40100 , 47055026
196900 , 184616535
107600 , 102376167
74500 , 77633239
13800 , 19413786
180600 , 176504381
162700 , 156067082
111200 , 113005654
41100 , 45759376
112600 , 111585623
142300 , 160858904
9200 , 29496925
182200 , 168704107
116500 , 108643538
15100 , 25095118
121100 , 121650992
94700 , 97870556
190900 , 182169203
191000 , 178425953
139300 , 133062075
3800 , 13625091
140700 , 137392233
91800 , 92972413
26100 , 35622131
149400 , 145085189
14000 , 23295433
178000 , 172600764
168000 , 151688264
35600 , 40065791
137400 , 132663397
68100 , 69100303
700 , 7585937
73900 , 82338869
189900 , 173366525
185200 , 172699257
70000 , 66995531
193700 , 182881120
29900 , 41299557
158400 , 152175857
72800 , 76733013
153300 , 142934866
90600 , 84521379
13000 , 23068306
175600 , 169763779
197200 , 186765843
98400 , 100244940
93500 , 86621118
93200 , 85333687
88700 , 91407035
90200 , 86073490
170400 , 163402681
23100 , 31383495
91000 , 94064821
21100 , 31767705
169500 , 159680913
139500 , 131614479
121600 , 133554158
138400 , 126595035
7800 , 22197934
