String Length , Time Taken (ns)
104500 , 784714629
104600 , 835400264
104700 , 825909984
104800 , 814144455
104900 , 795762940
105000 , 791849105
105100 , 801314905
105200 , 796617152
105300 , 798564035
105400 , 799725409
105500 , 806437426
105600 , 800016445
105700 , 803932756
105800 , 809076107
105900 , 810150216
106000 , 805962098
106100 , 815635369
106200 , 808497233
106300 , 816248553
106400 , 819770671
106500 , 816901979
106600 , 822673575
106700 , 819327816
106800 , 816938216
106900 , 833168551
107000 , 827064777
107100 , 818746809
107200 , 825631101
107300 , 823348874
107400 , 829603533
107500 , 833362310
107600 , 830382131
107700 , 839842638
107800 , 835686115
107900 , 838127401
108000 , 837508379
108100 , 840271072
108200 , 833328016
108300 , 839178915
108400 , 851596048
108500 , 841217819
108600 , 846471070
108700 , 860155719
108800 , 844125385
108900 , 848426653
109000 , 853677164
109100 , 860823442
109200 , 854891744
109300 , 856023478
109400 , 867206581
109500 , 866581504
109600 , 858813996
109700 , 871941706
109800 , 864543105
109900 , 890178892
110000 , 875978531
110100 , 872155597
110200 , 873168135
110300 , 881514140
110400 , 882678883
110500 , 880090260
110600 , 877245843
110700 , 890446930
110800 , 888423091
110900 , 876827108
111000 , 880793296
111100 , 885312914
111200 , 888796957
111300 , 896094326
111400 , 893097084
111500 , 898405350
111600 , 896699045
111700 , 900981326
111800 , 891215193
111900 , 904120275
112000 , 905382628
112100 , 904518237
112200 , 904578588
112300 , 900441880
112400 , 911678430
112500 , 915167369
112600 , 910069577
112700 , 911562991
112800 , 915232200
112900 , 919138287
113000 , 911674647
113100 , 922012251
113200 , 912183793
113300 , 936622002
113400 , 927658767
113500 , 930919512
113600 , 927382550
113700 , 942641558
113800 , 927871123
113900 , 935755330
114000 , 945261497
114100 , 936032553
114200 , 936137061
114300 , 947476987
114400 , 935533889
114500 , 939702980
114600 , 962525569
114700 , 981886599
114800 , 950811170
114900 , 952829200
115000 , 945983781
115100 , 951367378
115200 , 955959936
115300 , 956216514
115400 , 956055200
115500 , 956646252
115600 , 974737776
115700 , 965741160
115800 , 962958746
115900 , 967657610
116000 , 981762446
116100 , 971293940
116200 , 969998243
116300 , 968426879
116400 , 965260411
116500 , 977844624
116600 , 968417045
116700 , 979989506
116800 , 981801317
116900 , 981152489
117000 , 980117623
117100 , 982642093
117200 , 987851499
117300 , 977625552
117400 , 994477698
117500 , 990097732
117600 , 1008091276
117700 , 992850540
117800 , 996825688
117900 , 999835150
118000 , 1009490065
118100 , 1006335034
118200 , 1001853415
118300 , 1002021423
118400 , 1010462178
118500 , 1005095884
118600 , 1016219895
118700 , 1011171163
118800 , 1022071936
118900 , 1025382186
119000 , 1021881052
119100 , 1021493065
119200 , 1024268196
119300 , 1015659794
119400 , 1019363147
119500 , 1035622315
119600 , 1035511181
119700 , 1029206477
119800 , 1032699730
119900 , 1033521688
120000 , 1034010050
120100 , 1041599404
120200 , 1037329732
120300 , 1040683377
120400 , 1044349931
120500 , 1038325243
120600 , 1051935807
120700 , 1056150018
120800 , 1058537982
120900 , 1049683602
121000 , 1049145764
121100 , 1052228565
121200 , 1052841483
121300 , 1063788739
121400 , 1063809336
121500 , 1058015366
121600 , 1064047620
121700 , 1062377847
121800 , 1076232428
121900 , 1066520248
122000 , 1075192922
122100 , 1068539754
122200 , 1074851175
122300 , 1080658050
122400 , 1077351650
122500 , 1079439669
122600 , 1068019638
122700 , 1089253057
122800 , 1088413265
122900 , 1089901609
123000 , 1087632289
123100 , 1096382067
123200 , 1086504297
123300 , 1095688107
123400 , 1095863630
123500 , 1099080081
123600 , 1095974437
123700 , 1125305425
123800 , 1100763258
123900 , 1108396689
124000 , 1105494607
124100 , 1107025219
124200 , 1117641416
124300 , 1117967824
124400 , 1118062190
124500 , 1106747212
124600 , 1119963154
124700 , 1121601085
124800 , 1133236998
124900 , 1126060779
125000 , 1189138808
125100 , 1133694209
125200 , 1132979161
125300 , 1134633875
125400 , 1132133651
125500 , 1143466282
125600 , 1141630756
125700 , 1137386206
125800 , 1137713168
125900 , 1143359321
126000 , 1135517968
126100 , 1150454353
126200 , 1152888309
126300 , 1156462031
126400 , 1151039197
126500 , 1171885644
126600 , 1155405536
126700 , 1159050431
126800 , 1158081782
126900 , 1160872325
127000 , 1162790648
127100 , 1160114230
127200 , 1166836728
127300 , 1166925770
127400 , 1162022389
127500 , 1167142562
127600 , 1180664228
127700 , 1174912043
127800 , 1180853627
127900 , 1185158872
128000 , 1174584785
128100 , 1182347049
128200 , 1178959991
128300 , 1178809751
128400 , 1186808133
128500 , 1190672256
128600 , 1184878096
128700 , 1191410064
128800 , 1193888214
128900 , 1202338092
129000 , 1218550498
129100 , 1199479661
129200 , 1223369703
129300 , 1197116481
129400 , 1211421585
129500 , 1213884662
129600 , 1203561833
129700 , 1213147285
129800 , 1214979043
129900 , 1217337432
130000 , 1220105382
130100 , 1226939529
130200 , 1221703158
130300 , 1215979113
130400 , 1235051760
130500 , 1222883866
130600 , 1224554066
130700 , 1224028630
130800 , 1227553884
130900 , 1235630828
131000 , 1230556868
131100 , 1241188190
131200 , 1241691617
131300 , 1249514657
131400 , 1251638156
131500 , 1255066423
131600 , 1249733605
131700 , 1258232692
131800 , 1260759066
131900 , 1261043822
132000 , 1262967746
132100 , 1268167738
132200 , 1275195734
132300 , 1263262894
132400 , 1262005183
132500 , 1256110985
132600 , 1266719431
132700 , 1279208354
132800 , 1267308384
132900 , 1265441829
133000 , 1287015862
133100 , 1286796856
133200 , 1361136981
133300 , 1383055144
133400 , 1355368295
133500 , 1388006658
133600 , 1283569914
133700 , 1284514245
133800 , 1286581048
133900 , 1293251369
134000 , 1289002624
134100 , 1304620133
134200 , 1322825883
134300 , 1290645164
134400 , 1312850317
134500 , 1299959499
134600 , 1307592904
134700 , 1310147650
134800 , 1303828660
134900 , 1311414373
